Venue,Website,Calendar/events tab,Band/DJ
1860's Saloon & Café - Soulard, http://1860saloon.com,Calendar,Band
612 Kitchen & Cocktails - formerly Grahams Grill Kirkwood,"www.612kitchenandcocktails.com
",Calendar,Band
Backstreet Blues Bar - Westport,www.westportstl.com/play/backstreet-jazz-a-blues,No,Band
Ballpark Village - St. Louis,http//www.stlballparkvillage.com/entertainment,Calendar,Band
Bartolino's Osteria - Drury Inn,www.bartolinosrestaurants.com,Calendar,Band
Bar Louie - Chesterfield,http://barlouie.com/locations/chesterfield.aspx,Events tab,Band
Bartolino's South - South County,www.bartolinosrestaurants.com,Calendar,Band
Beale on Broadway - St. Louis,www.bealeonbroadway.com,Calendar,Band
Bishop's Post - Chesterfield,www.bishopspost.com,Events tab,Band
Bottleneck Blues Bar - St. Charles,www.ameristar.com/St_Charles_Entertainment.aspx,Calendar,Band
Candicci's - Manchester,www.candiccis.net,Calendar/Facebook,Band
Casa Loma Ballroom - St. Louis,www.casalomaballroom.com,Calendar,Band
Defiance Roadhouse - Defiance,www.defianceroadhouse.net,Calendar,Band
Donatelli's Bistro - Lake St. Louis,www.donatellisbistro.com,Events ,Band
Failoni's - St. Louis,www.failonis.com,Entertainment tab,Band
Fandango's - Big Bend,www.fandangosstlouis.com,Entertainment tab,DJ/Band
"Fast Eddies - Bon Air, IL",http://fasteddiesbonair.com,Calendar,Band
Ferring Jazz Bistro & Nancy's Jazz Lounge -St. Louis,http://www.jazzstl.org/jass-at-the-bistro,Events tab,Band
The Firehouse Bar & Grill -South County,www.firehousebarandgrillstl.com/apps/calendar,Calendar,Band
Hammerstone's -Soulard,http://hammerstones.net,Calendar,Band
The Hangar - Chesterfield,www.thehangargrill.com,Schedule,Band
Helen Fitzgerald's -South County,www.helenfitzgeralds.com,Calendar,Band
Hendrick's BBQ  - Moonshine Blues Bar - St. Charles,www.facebook.com/MoonshineBluesBar/events,Calendar/Facebook,Band
Highway 61 Roadhouse - Webster Groves,www.hwy61roadhouse.com,Events tab,Band
Jimmy's on the Park - Clayton,http://jimmyscafe.com/livemusic.htm,Schedule,Band
JP's Corner - South County,http://jpscornerstl.com,Calendar,Band
Kirkwood Station Brewing Co. - Kirkwood,http://kirkwoodstationbrewing.com,Calendar,Band
"The Loading Dock - Grafton, IL",www.graftonloadingdock.com,Entertainment tab,Band
Maidson's Café - O'Fallon,www.madisonsofallon.com,Schedule,Band
Mile 277 Tap & Grill - South County,http://www.mile277.com,Calendar,Band
Patrick's - Westport,http://www.patrickswestport.com,No,Band
River City Casino - Judy's Velvet Lounge,http://www.rivercity.com/entertainment/judy-s-velvet-lounge,Calendar,Band
Sky Music Lounge - Ballwin/Ellisville,www.skymusiclounge.com,Calendar,Band
Salvatore's Italian Grill - St. Peters,www.salvatorespizza.net,Calendar,Band
Tuner's on Main Street - St. Charles,http://wwww.facebook.com/pages/Tuners-on-Main-Street/123041564419844,Facebook,
Syberg's Dorsett - Maryland Heights,http://www.sybergs.com/CALENDAR/DORSETT.aspx,Calendar,Band
Table Three - Wildwood,http://table-three.com,Calendar,Band
Terry & Kathy's Tavern - Defiance,www.defiancemissouri.com/tandk.html,No,Band
Trainwreck - Wesport,http://westportplaza.trainwrecksaloon.com,Calendar,Band
Truffles - Ladue,www.todayattruffles.com/live-music,Calendar,Band
Walnut Grill- Ellisville,walnutgroverestaurant.com,No,Band
Zydeco Blues - formerly Rick's Café - Des Peres,www.zydecobluesstl.com,Calendar,Band
